biosequence_name	biosequence_accession	biosequence_gene_name	is_covering	pct_coverage	presence_level	probability	confidence	n_observations	norm_PSMs_per_100K	n_distinct_peptides	n_distinct_synpeptides	chromosome	genetic_locus	start_in_chromosome	end_in_chromosome	strand	relationship_phrase	reference_biosequence	represented_by_biosequence_id	group_number	seq_unique_prots_in_group	protein_group_seq_align_link	is_keratin	is_immunoglobulin	biosequence_description	organism_full_name
P54725	P54725	RAD23A	C	64.19	canonical	  0.999	  0.000	447	  3.720	18									P54727	2487	39				coreProteome GENCODE_v48 SP sp|P54725|RD23A_HUMAN UV excision repair protein RAD23 homolog A OS=Homo sapiens OX=9606 GN=RAD23A PE=1 SV=1 \VariantSimple=(131|A)(179|Q)(200|M)	Homo sapiens
Q9BQ51	Q9BQ51	PDCD1LG2	C	27.11	canonical	  0.999	  0.000	392	  3.720	7									Q9BQ51	4453	7				coreProteome GENCODE_v48 SP sp|Q9BQ51|PD1L2_HUMAN Programmed cell death 1 ligand 2 OS=Homo sapiens OX=9606 GN=PDCD1LG2 PE=1 SV=2 \VariantSimple=(58|T)(229|S)(241|T)	Homo sapiens
P17931	P17931	LGALS3	C	49.2	canonical	  0.999	  0.000	280	  3.720	10									P17931	1773	19				coreProteome GENCODE_v48 SP sp|P17931|LEG3_HUMAN Galectin-3 OS=Homo sapiens OX=9606 GN=LGALS3 PE=1 SV=5 \VariantSimple=(64|H)(98|P)(183|K)	Homo sapiens
Q9Y623	Q9Y623	MYH4	C	52.55	canonical	  0.999	  0.000	2961	  3.710	194									P98160	2757	446				coreProteome GENCODE_v48 SP sp|Q9Y623|MYH4_HUMAN Myosin-4 OS=Homo sapiens OX=9606 GN=MYH4 PE=1 SV=2 \VariantSimple=(594|T)(883|M)(1106|M)(1117|D)(1209|K)(1802|G)(1862|C)(1911|E)	Homo sapiens
P14384	P14384	CPM	C	51.92	canonical	  0.999	  0.000	670	  3.710	31									P14384	1686	14				coreProteome GENCODE_v48 SP sp|P14384|CBPM_HUMAN Carboxypeptidase M OS=Homo sapiens OX=9606 GN=CPM PE=1 SV=2 \VariantSimple=(24|H)(133|I)	Homo sapiens
P04216	P04216	THY1	C	36.65	canonical	  0.999	  0.000	194	  3.690	6									P04216	1373	26				coreProteome GENCODE_v48 SP sp|P04216|THY1_HUMAN Thy-1 membrane glycoprotein OS=Homo sapiens OX=9606 GN=THY1 PE=1 SV=2 	Homo sapiens
P11217	P11217	PYGM	C	68.05	canonical	  0.999	  0.000	1438	  3.680	61									P06737	1443	60				"coreProteome GENCODE_v48 SP sp|P11217|PYGM_HUMAN Glycogen phosphorylase, muscle form OS=Homo sapiens OX=9606 GN=PYGM PE=1 SV=6 \(50|842|-)(116|P)(194|W)(205|S)(292|P)(349|K)(397|P)(414|G)(488|N)(543|T)(602|W)(655|K)(660|D)(666|E)(685|Y)(686|R)(687|P)(704|"	Homo sapiens
Q96KG7	Q96KG7	MEGF10	C	45.96	canonical	  0.999	  0.000	1352	  3.670	45									Q96KG7	4308	6				coreProteome GENCODE_v48 SP sp|Q96KG7|MEG10_HUMAN Multiple epidermal growth factor-like domains protein 10 OS=Homo sapiens OX=9606 GN=MEGF10 PE=1 SV=1 \VariantSimple=(71|W)(118|R)(206|I)(326|R)(699|S)(774|R)(810|Y)(897|L)(1030|C)(1072|K)	Homo sapiens
P18850	P18850	ATF6	C	20.3	canonical	  0.999	  0.000	882	  3.670	19									P18850	1793	18				coreProteome GENCODE_v48 SP sp|P18850|ATF6A_HUMAN Cyclic AMP-dependent transcription factor ATF-6 alpha OS=Homo sapiens OX=9606 GN=ATF6 PE=1 SV=3 \VariantSimple=(67|L)(67|V)(145|P)(157|S)(324|C)(567|N)	Homo sapiens
P62136	P62136	PPP1CA	C	69.39	canonical	  0.999	  0.000	523	  3.660	21									P04114	1364	34035				coreProteome GENCODE_v48 SP sp|P62136|PP1A_HUMAN Serine/threonine-protein phosphatase PP1-alpha catalytic subunit OS=Homo sapiens OX=9606 GN=PPP1CA PE=1 SV=1 	Homo sapiens
Q96JB6	Q96JB6	LOXL4	C	5.42	canonical	  0.998	  0.000	1073	  3.660	3									O43866	922	5				coreProteome GENCODE_v48 SP sp|Q96JB6|LOXL4_HUMAN Lysyl oxidase homolog 4 OS=Homo sapiens OX=9606 GN=LOXL4 PE=1 SV=1 \VariantSimple=(154|Q)(372|T)(405|A)	Homo sapiens
Q16775	Q16775	HAGH	C	64.61	canonical	  0.999	  0.000	440	  3.660	15									Q16775	3275	26				"coreProteome GENCODE_v48 SP sp|Q16775|GLO2_HUMAN Hydroxyacylglutathione hydrolase, mitochondrial OS=Homo sapiens OX=9606 GN=HAGH PE=1 SV=2 "	Homo sapiens
O60844	O60844	ZG16	C	54.49	canonical	  0.999	  0.000	247	  3.650	8									O60844	998	2				coreProteome GENCODE_v48 SP sp|O60844|ZG16_HUMAN Zymogen granule membrane protein 16 OS=Homo sapiens OX=9606 GN=ZG16 PE=1 SV=3 \VariantSimple=(32|S)(109|L)(162|T)	Homo sapiens
Q13275	Q13275	SEMA3F	C	61.78	canonical	  0.999	  0.000	1152	  3.650	51									P04114	1364	34035				coreProteome GENCODE_v48 SP sp|Q13275|SEM3F_HUMAN Semaphorin-3F OS=Homo sapiens OX=9606 GN=SEMA3F PE=1 SV=2 \VariantSimple=(474|G)(503|M)	Homo sapiens
P16562	P16562	CRISP2	C	33.74	canonical	  0.999	  0.000	329	  3.650	8									P54108	2479	13				coreProteome GENCODE_v48 SP sp|P16562|CRIS2_HUMAN Cysteine-rich secretory protein 2 OS=Homo sapiens OX=9606 GN=CRISP2 PE=1 SV=1 \VariantSimple=(131|S)	Homo sapiens
O95897	O95897	OLFM2	C	55.07	canonical	  0.999	  0.000	573	  3.630	29									Q99784	4427	40				coreProteome GENCODE_v48 SP sp|O95897|NOE2_HUMAN Noelin-2 OS=Homo sapiens OX=9606 GN=OLFM2 PE=1 SV=2 \VariantSimple=(86|M)(106|Q)(127|M)	Homo sapiens
Q9Y5Z4	Q9Y5Z4	HEBP2	C	70.24	canonical	  0.999	  0.000	273	  3.630	12									Q9Y5Z4	5373	18				coreProteome GENCODE_v48 SP sp|Q9Y5Z4|HEBP2_HUMAN Heme-binding protein 2 OS=Homo sapiens OX=9606 GN=HEBP2 PE=1 SV=1 \VariantSimple=(140|Q)(191|A)	Homo sapiens
Q9H772	Q9H772	GREM2	C	42.26	canonical	  0.999	  0.000	246	  3.630	7									Q9H772	4714	5				coreProteome GENCODE_v48 SP sp|Q9H772|GREM2_HUMAN Gremlin-2 OS=Homo sapiens OX=9606 GN=GREM2 PE=1 SV=1 \VariantSimple=(13|V)(76|E)(131|I)(136|D)	Homo sapiens
Q16658	Q16658	FSCN1	C	78.7	canonical	  0.999	  0.000	764	  3.630	47									Q16658	3263	18				coreProteome GENCODE_v48 SP sp|Q16658|FSCN1_HUMAN Fascin OS=Homo sapiens OX=9606 GN=FSCN1 PE=1 SV=3 	Homo sapiens
P24666	P24666	ACP1	C	77.22	canonical	  0.999	  0.000	246	  3.630	13									P24666	1927	13				coreProteome GENCODE_v48 SP sp|P24666|PPAC_HUMAN Low molecular weight phosphotyrosine protein phosphatase OS=Homo sapiens OX=9606 GN=ACP1 PE=1 SV=3 \VariantSimple=(7|N)(106|R)(137|F)	Homo sapiens
P46109	P46109	CRKL	C	66.67	canonical	  0.999	  0.000	435	  3.620	19									P46109	2259	18				coreProteome GENCODE_v48 SP sp|P46109|CRKL_HUMAN Crk-like protein OS=Homo sapiens OX=9606 GN=CRKL PE=1 SV=1 	Homo sapiens
Q5ZPR3	Q5ZPR3	CD276	C	58.24	canonical	  0.999	  0.000	599	  3.620	18									Q5ZPR3	3448	16				coreProteome GENCODE_v48 SP sp|Q5ZPR3|CD276_HUMAN CD276 antigen OS=Homo sapiens OX=9606 GN=CD276 PE=1 SV=1 \VariantSimple=(97|L)(111|S)(137|L)(160|M)(267|H)(279|T)(315|L)(329|S)(378|M)	Homo sapiens
P17301	P17301	ITGA2	C	51.06	canonical	  0.999	  0.000	1439	  3.610	53									P17301	1760	36				coreProteome GENCODE_v48 SP sp|P17301|ITA2_HUMAN Integrin alpha-2 OS=Homo sapiens OX=9606 GN=ITGA2 PE=1 SV=2 \VariantSimple=(532|L)(534|K)(691|K)(927|S)(1127|Q)	Homo sapiens
P09429	P09429	HMGB1	C	69.77	canonical	  0.999	  0.000	190	  3.610	21									P09429	1535	26				coreProteome GENCODE_v48 SP sp|P09429|HMGB1_HUMAN High mobility group protein B1 OS=Homo sapiens OX=9606 GN=HMGB1 PE=1 SV=3 \VariantSimple=(11|R)(149|E)(156|Q)(190|G)	Homo sapiens
Q9UGM3	Q9UGM3	DMBT1	C	34.73	canonical	  0.999	  0.000	2491	  3.560	17									Q9UGM3	5085	16				coreProteome GENCODE_v48 SP sp|Q9UGM3|DMBT1_HUMAN Scavenger receptor cysteine-rich domain-containing protein DMBT1 OS=Homo sapiens OX=9606 GN=DMBT1 PE=1 SV=2 \VariantSimple=(42|T)(52|W)(54|L)(60|A)(65|L)(162|E)(322|D)(337|L)(357|S)(364|G)(420|H)(546|S)(60	Homo sapiens
P35321	P35321	SPRR1A	C	87.64	canonical	  0.999	  0.000	187	  3.550	6									P35321	2117	5				coreProteome GENCODE_v48 SP sp|P35321|SPR1A_HUMAN Cornifin-A OS=Homo sapiens OX=9606 GN=SPRR1A PE=1 SV=2 \VariantSimple=(42|Q)(61|I)	Homo sapiens
O00748	O00748	CES2	C	51.34	canonical	  0.999	  0.000	635	  3.520	32									P04114	1364	34035				coreProteome GENCODE_v48 SP sp|O00748|EST2_HUMAN Cocaine esterase OS=Homo sapiens OX=9606 GN=CES2 PE=1 SV=1 \VariantSimple=(34|W)(206|H)	Homo sapiens
P07741	P07741	APRT	C	84.44	canonical	  0.999	  0.000	318	  3.520	17									P07741	1476	32				coreProteome GENCODE_v48 SP sp|P07741|APT_HUMAN Adenine phosphoribosyltransferase OS=Homo sapiens OX=9606 GN=APRT PE=1 SV=2 \VariantSimple=(33|P)(65|V)(84|M)(110|P)(121|R)(133|D)(136|T)(150|F)(153|R)(173|173|-)	Homo sapiens
P28062	P28062	PSMB8	C	67.75	canonical	  0.999	  0.000	449	  3.510	22									P28062	1986	42				coreProteome GENCODE_v48 SP sp|P28062|PSB8_HUMAN Proteasome subunit beta type-8 OS=Homo sapiens OX=9606 GN=PSMB8 PE=1 SV=3 \VariantSimple=(8|R)(30|RPD)(49|K)(74|S)(75|M)(94|P)(105|Q)(201|V)	Homo sapiens
O00451	O00451	GFRA2	C	43.53	canonical	  0.999	  0.000	660	  3.510	26									O00451	717	10				coreProteome GENCODE_v48 SP sp|O00451|GFRA2_HUMAN GDNF family receptor alpha-2 OS=Homo sapiens OX=9606 GN=GFRA2 PE=1 SV=2 \VariantSimple=(462|Q)	Homo sapiens
P06132	P06132	UROD	C	83.65	canonical	  0.999	  0.000	446	  3.490	23									P06132	1429	43				coreProteome GENCODE_v48 SP sp|P06132|DCUP_HUMAN Uroporphyrinogen decarboxylase OS=Homo sapiens OX=9606 GN=UROD PE=1 SV=2 \VariantSimple=(15|E)(25|E)(46|L)(62|L)(77|L)(80|G)(80|S)(106|L)(113|T)(134|Q)(142|Q)(144|P)(156|D)(161|Q)(165|R)(167|K)(168|R)(170|D	Homo sapiens
P36873	P36873	PPP1CC	C	60.37	canonical	  0.999	  0.000	472	  3.490	18									P04114	1364	34035				coreProteome GENCODE_v48 SP sp|P36873|PP1G_HUMAN Serine/threonine-protein phosphatase PP1-gamma catalytic subunit OS=Homo sapiens OX=9606 GN=PPP1CC PE=1 SV=1 \VariantSimple=(152|S)	Homo sapiens
Q0ZGT2	Q0ZGT2	NEXN	C	52.3	canonical	  0.999	  0.000	813	  3.490	49									Q0ZGT2	2896	24				coreProteome GENCODE_v48 SP sp|Q0ZGT2|NEXN_HUMAN Nexilin OS=Homo sapiens OX=9606 GN=NEXN PE=1 SV=1 \VariantSimple=(131|E)(245|R)(279|C)(335|K)(611|T)(650|650|-)(652|C)	Homo sapiens
Q9NY33	Q9NY33	DPP3	C	75.71	canonical	  0.999	  0.000	1072	  3.480	48									Q9NY33	4959	29				coreProteome GENCODE_v48 SP sp|Q9NY33|DPP3_HUMAN Dipeptidyl peptidase 3 OS=Homo sapiens OX=9606 GN=DPP3 PE=1 SV=2 \VariantSimple=(76|H)(145|H)(678|H)(690|K)	Homo sapiens
P16949	P16949	STMN1	C	64.43	canonical	  0.999	  0.000	235	  3.470	14									P16949	1755	50				coreProteome GENCODE_v48 SP sp|P16949|STMN1_HUMAN Stathmin OS=Homo sapiens OX=9606 GN=STMN1 PE=1 SV=3 	Homo sapiens
P17987	P17987	TCP1	C	82.01	canonical	  0.999	  0.000	832	  3.460	47									P17987	1775	90				coreProteome GENCODE_v48 SP sp|P17987|TCPA_HUMAN T-complex protein 1 subunit alpha OS=Homo sapiens OX=9606 GN=TCP1 PE=1 SV=1 \VariantSimple=(7|L)(38|L)(92|556|-)(159|R)(262|556|-)	Homo sapiens
P05141	P05141	SLC25A5	C	71.48	canonical	  0.999	  0.000	521	  3.460	27									P05141	1408	40				coreProteome GENCODE_v48 SP sp|P05141|ADT2_HUMAN ADP/ATP translocase 2 OS=Homo sapiens OX=9606 GN=SLC25A5 PE=1 SV=7 \VariantSimple=(111|R)	Homo sapiens
P60903	P60903	S100A10	C	75.26	canonical	  0.999	  0.000	104	  3.460	7									P60903	2585	9				coreProteome GENCODE_v48 SP sp|P60903|S10AA_HUMAN Protein S100-A10 OS=Homo sapiens OX=9606 GN=S100A10 PE=1 SV=2 	Homo sapiens
Q9BZG1	Q9BZG1	RAB34	C	15.06	canonical	  0.999	  0.000	441	  3.450	6									P04114	1364	34035				coreProteome GENCODE_v48 SP sp|Q9BZG1|RAB34_HUMAN Ras-related protein Rab-34 OS=Homo sapiens OX=9606 GN=RAB34 PE=1 SV=1 \VariantSimple=(85|T)(197|L)(202|V)(211|H)(218|K)(231|259|-)	Homo sapiens
P05107	P05107	ITGB2	C	65.41	canonical	  0.999	  0.000	1168	  3.450	42									P05107	1402	70				coreProteome GENCODE_v48 SP sp|P05107|ITB2_HUMAN Integrin beta-2 OS=Homo sapiens OX=9606 GN=ITGB2 PE=1 SV=3 \VariantSimple=(128|N)(128|Y)(138|P)(149|P)(169|R)(178|L)(196|T)(239|T)(273|R)(284|S)(300|V)(351|S)(354|Q)(586|W)(593|C)(716|A)	Homo sapiens
P49189	P49189	ALDH9A1	C	65.59	canonical	  0.999	  0.000	674	  3.450	33									P00352	1254	181				coreProteome GENCODE_v48 SP sp|P49189|AL9A1_HUMAN 4-trimethylaminobutyraldehyde dehydrogenase OS=Homo sapiens OX=9606 GN=ALDH9A1 PE=1 SV=3 \VariantSimple=(116|S)	Homo sapiens
Q8TDY8	Q8TDY8	IGDCC4	C	39.2	canonical	  0.999	  0.000	1473	  3.440	46									Q8TDY8	4005	9				coreProteome GENCODE_v48 SP sp|Q8TDY8|IGDC4_HUMAN Immunoglobulin superfamily DCC subclass member 4 OS=Homo sapiens OX=9606 GN=IGDCC4 PE=1 SV=1 \VariantSimple=(52|P)(301|S)(803|C)(1102|A)(1125|Y)	Homo sapiens
P00387	P00387	CYB5R3	C	60.8	canonical	  0.999	  0.000	388	  3.440	16									P00387	1257	36				coreProteome GENCODE_v48 SP sp|P00387|NB5R3_HUMAN NADH-cytochrome b5 reductase 3 OS=Homo sapiens OX=9606 GN=CYB5R3 PE=1 SV=3 \VariantSimple=(58|Q)(66|P)(73|P)(106|M)(117|S)(128|P)(149|P)(179|V)(204|R)(204|Y)(256|256|-)(273|273|-)(292|D)(299|299|-)	Homo sapiens
Q15257	Q15257	PTPA	C	60.89	canonical	  0.999	  0.000	488	  3.420	18									Q15257	3177	32				coreProteome GENCODE_v48 SP sp|Q15257|PTPA_HUMAN Serine/threonine-protein phosphatase 2A activator OS=Homo sapiens OX=9606 GN=PTPA PE=1 SV=3 \VariantSimple=(28|R)(171|D)(208|Q)(298|R)(357|L)	Homo sapiens
P62140	P62140	PPP1CB	C	74.31	canonical	  0.999	  0.000	462	  3.410	24									P04114	1364	34035				coreProteome GENCODE_v48 SP sp|P62140|PP1B_HUMAN Serine/threonine-protein phosphatase PP1-beta catalytic subunit OS=Homo sapiens OX=9606 GN=PPP1CB PE=1 SV=3 \VariantSimple=(49|R)(56|P)(183|A)(183|V)(252|Y)(274|K)	Homo sapiens
Q9UM47	Q9UM47	NOTCH3	C	38.22	canonical	  0.999	  0.000	2568	  3.410	70									P04114	1364	34035				coreProteome GENCODE_v48 SP sp|Q9UM47|NOTC3_HUMAN Neurogenic locus notch homolog protein 3 OS=Homo sapiens OX=9606 GN=NOTCH3 PE=1 SV=2 \VariantSimple=(43|G)(49|F)(49|Y)(54|C)(60|C)(65|S)(67|Y)(71|C)(76|R)(76|W)(77|82|-)(80|84|-)(87|R)(87|Y)(90|C)(93|F)(93	Homo sapiens
P20908	P20908	COL5A1	C	22.47	canonical	  0.999	  0.000	2360	  3.410	48									P20908	1843	35				coreProteome GENCODE_v48 SP sp|P20908|CO5A1_HUMAN Collagen alpha-1(V) chain OS=Homo sapiens OX=9606 GN=COL5A1 PE=1 SV=3 \VariantSimple=(25|P)(25|R)(114|D)(123|E)(192|N)(229|N)(514|S)(530|S)(611|W)(863|V)(908|L)(951|S)(1140|M)(1164|L)(1400|S)(1486|C)(1489|	Homo sapiens
Q6GTS8	Q6GTS8	PM20D1	C	54.78	canonical	  0.999	  0.000	691	  3.400	30									Q6GTS8	3477	2				coreProteome GENCODE_v48 SP sp|Q6GTS8|P20D1_HUMAN N-fatty-acyl-amino acid synthase/hydrolase PM20D1 OS=Homo sapiens OX=9606 GN=PM20D1 PE=1 SV=3 \VariantSimple=(33|Y)(149|V)(153|W)(237|T)(258|C)(346|R)(380|T)	Homo sapiens
P22894	P22894	MMP8	C	48.18	canonical	  0.999	  0.000	562	  3.400	19									P22894	1896	8				coreProteome GENCODE_v48 SP sp|P22894|MMP8_HUMAN Neutrophil collagenase OS=Homo sapiens OX=9606 GN=MMP8 PE=1 SV=1 \VariantSimple=(3|C)(32|I)(87|E)(154|E)(193|V)(246|Y)(436|A)(460|T)	Homo sapiens
O43280	O43280	TREH	C	60.21	canonical	  0.999	  0.000	740	  3.390	41									O43280	860	3				coreProteome GENCODE_v48 SP sp|O43280|TREA_HUMAN Trehalase OS=Homo sapiens OX=9606 GN=TREH PE=1 SV=2 \VariantSimple=(389|A)(449|H)(486|W)(558|P)(561|P)	Homo sapiens
P08134	P08134	RHOC	C	64.25	canonical	  0.999	  0.000	204	  3.390	14									P61586	2612	52				coreProteome GENCODE_v48 SP sp|P08134|RHOC_HUMAN Rho-related GTP-binding protein RhoC OS=Homo sapiens OX=9606 GN=RHOC PE=1 SV=1 \VariantSimple=(120|H)	Homo sapiens
P30626	P30626	SRI	C	63.64	canonical	  0.999	  0.000	305	  3.380	14									P30626	2045	18				coreProteome GENCODE_v48 SP sp|P30626|SORCN_HUMAN Sorcin OS=Homo sapiens OX=9606 GN=SRI PE=1 SV=1 	Homo sapiens
Q9H3T2	Q9H3T2	SEMA6C	C	19.35	canonical	  0.999	  0.000	1219	  3.380	12									P04114	1364	34035				coreProteome GENCODE_v48 SP sp|Q9H3T2|SEM6C_HUMAN Semaphorin-6C OS=Homo sapiens OX=9606 GN=SEMA6C PE=1 SV=4 \VariantSimple=(455|P)	Homo sapiens
O95865	O95865	DDAH2	C	82.81	canonical	  0.999	  0.000	432	  3.380	17									O95865	1234	32				coreProteome GENCODE_v48 SP sp|O95865|DDAH2_HUMAN Putative hydrolase DDAH2 OS=Homo sapiens OX=9606 GN=DDAH2 PE=1 SV=1 	Homo sapiens
Q86Y34	Q86Y34	ADGRG3	C	11.48	canonical	  0.999	  0.000	559	  3.380	4									P04114	1364	34035				coreProteome GENCODE_v48 SP sp|Q86Y34|AGRG3_HUMAN Adhesion G protein-coupled receptor G3 OS=Homo sapiens OX=9606 GN=ADGRG3 PE=1 SV=1 \VariantSimple=(430|T)	Homo sapiens
P35268	P35268	RPL22	C	53.12	canonical	  0.999	  0.000	101	  3.360	10									P35268	2113	10				coreProteome GENCODE_v48 SP sp|P35268|RL22_HUMAN Large ribosomal subunit protein eL22 OS=Homo sapiens OX=9606 GN=RPL22 PE=1 SV=2 	Homo sapiens
O60667	O60667	FCMR	C	33.33	canonical	  0.999	  0.000	455	  3.360	11									O60667	977	20				coreProteome GENCODE_v48 SP sp|O60667|FCMR_HUMAN Immunoglobulin mu Fc receptor OS=Homo sapiens OX=9606 GN=FCMR PE=1 SV=1 	Homo sapiens
Q9H4X1	Q9H4X1	RGCC	C	52.55	canonical	  0.999	  0.000	151	  3.350	5									Q9H4X1	4700	7				coreProteome GENCODE_v48 SP sp|Q9H4X1|RGCC_HUMAN Regulator of cell cycle RGCC OS=Homo sapiens OX=9606 GN=RGCC PE=1 SV=1 	Homo sapiens
P50990	P50990	CCT8	C	77.37	canonical	  0.999	  0.000	958	  3.350	48									P50990	2394	16				coreProteome GENCODE_v48 SP sp|P50990|TCPQ_HUMAN T-complex protein 1 subunit theta OS=Homo sapiens OX=9606 GN=CCT8 PE=1 SV=4 \VariantSimple=(4|Q)(409|I)	Homo sapiens
P25398	P25398	RPS12	C	76.52	canonical	  0.999	  0.000	176	  3.340	12									P25398	1938	12				coreProteome GENCODE_v48 SP sp|P25398|RS12_HUMAN Small ribosomal subunit protein eS12 OS=Homo sapiens OX=9606 GN=RPS12 PE=1 SV=3 	Homo sapiens
P30990	P30990	NTS	C	55.29	canonical	  0.999	  0.000	176	  3.340	14									P30990	2048	4				coreProteome GENCODE_v48 SP sp|P30990|NEUT_HUMAN Neurotensin/neuromedin N OS=Homo sapiens OX=9606 GN=NTS PE=1 SV=2 	Homo sapiens
P78371	P78371	CCT2	C	80.19	canonical	  0.999	  0.000	803	  3.340	47									P78371	2717	25				coreProteome GENCODE_v48 SP sp|P78371|TCPB_HUMAN T-complex protein 1 subunit beta OS=Homo sapiens OX=9606 GN=CCT2 PE=1 SV=4 	Homo sapiens
Q93084	Q93084	ATP2A3	C	53.65	canonical	  0.999	  0.000	1232	  3.340	54									Q93084	4145	68				coreProteome GENCODE_v48 SP sp|Q93084|AT2A3_HUMAN Sarcoplasmic/endoplasmic reticulum calcium ATPase 3 OS=Homo sapiens OX=9606 GN=ATP2A3 PE=1 SV=3 \VariantSimple=(674|H)(869|H)	Homo sapiens
Q9NQS3	Q9NQS3	NECTIN3	C	26.96	canonical	  0.999	  0.000	551	  3.330	18									Q9NQS3	4831	12				coreProteome GENCODE_v48 SP sp|Q9NQS3|NECT3_HUMAN Nectin-3 OS=Homo sapiens OX=9606 GN=NECTIN3 PE=1 SV=1 \VariantSimple=(432|L)	Homo sapiens
P04279	P04279	SEMG1	C	81.82	canonical	  0.999	  0.000	722	  3.310	96									P04279	1378	10				coreProteome GENCODE_v48 SP sp|P04279|SEMG1_HUMAN Semenogelin-1 OS=Homo sapiens OX=9606 GN=SEMG1 PE=1 SV=2 \VariantSimple=(58|G)(79|T)(108|R)(372|L)	Homo sapiens
Q9BWD1	Q9BWD1	ACAT2	C	83.38	canonical	  0.999	  0.000	447	  3.300	27									Q9BWD1	4533	29				"coreProteome GENCODE_v48 SP sp|Q9BWD1|THIC_HUMAN Acetyl-CoA acetyltransferase, cytosolic OS=Homo sapiens OX=9606 GN=ACAT2 PE=1 SV=2 \VariantSimple=(211|R)"	Homo sapiens
Q9Y277	Q9Y277	VDAC3	C	56.89	canonical	  0.999	  0.000	371	  3.290	13									P21796	1866	49				coreProteome GENCODE_v48 SP sp|Q9Y277|VDAC3_HUMAN Non-selective voltage-gated ion channel VDAC3 OS=Homo sapiens OX=9606 GN=VDAC3 PE=1 SV=1 	Homo sapiens
P05091	P05091	ALDH2	C	78.92	canonical	  0.999	  0.000	643	  3.290	43									P00352	1254	181				"coreProteome GENCODE_v48 SP sp|P05091|ALDH2_HUMAN Aldehyde dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ALDH2 PE=1 SV=2 \VariantSimple=(337|V)(496|K)(504|K)"	Homo sapiens
Q8IUK5	Q8IUK5	PLXDC1	C	42.6	canonical	  0.999	  0.000	642	  3.280	23									Q6UX71	3569	40				coreProteome GENCODE_v48 SP sp|Q8IUK5|PLDX1_HUMAN Plexin domain-containing protein 1 OS=Homo sapiens OX=9606 GN=PLXDC1 PE=1 SV=2 \VariantSimple=(462|H)	Homo sapiens
P54819	P54819	AK2	C	81.59	canonical	  0.999	  0.000	345	  3.280	24									P54819	2491	76				"coreProteome GENCODE_v48 SP sp|P54819|KAD2_HUMAN Adenylate kinase 2, mitochondrial OS=Homo sapiens OX=9606 GN=AK2 PE=1 SV=2 \VariantSimple=(103|W)(165|G)(209|T)"	Homo sapiens
Q8N3T6	Q8N3T6	TMEM132C	C	54.6	canonical	  0.999	  0.000	1449	  3.270	65									Q8N3T6	3853	7				coreProteome GENCODE_v48 SP sp|Q8N3T6|T132C_HUMAN Transmembrane protein 132C OS=Homo sapiens OX=9606 GN=TMEM132C PE=1 SV=3 \VariantSimple=(161|R)(232|M)(272|I)(444|I)(730|S)(799|I)(810|R)	Homo sapiens
P05187	P05187	ALPP	C	72.52	canonical	  0.999	  0.000	714	  3.270	34									P04114	1364	34035				"coreProteome GENCODE_v48 SP sp|P05187|PPB1_HUMAN Alkaline phosphatase, placental type OS=Homo sapiens OX=9606 GN=ALPP PE=1 SV=2 \VariantSimple=(25|L)(89|L)(231|P)(263|H)(451|G)"	Homo sapiens
Q9UK23	Q9UK23	NAGPA	C	58.25	canonical	  0.999	  0.000	710	  3.260	28									Q9UK23	5143	25				coreProteome GENCODE_v48 SP sp|Q9UK23|NAGPA_HUMAN N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase OS=Homo sapiens OX=9606 GN=NAGPA PE=1 SV=2 \VariantSimple=(84|Q)(328|C)(465|I)	Homo sapiens
P38646	P38646	HSPA9	C	75.11	canonical	  0.999	  0.000	949	  3.240	64									P11021	1602	202				"coreProteome GENCODE_v48 SP sp|P38646|HSPA9_HUMAN Stress-70 protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPA9 PE=1 SV=2 \VariantSimple=(74|R)(126|W)(127|G)(128|C)(184|Y)(200|L)(212|P)(225|G)(388|S)(415|K)(458|459|-)(539|K)(573|W)(577|K)"	Homo sapiens
P60983	P60983	GMFB	C	76.76	canonical	  0.999	  0.000	195	  3.240	11									P60983	2587	41				coreProteome GENCODE_v48 SP sp|P60983|GMFB_HUMAN Glia maturation factor beta OS=Homo sapiens OX=9606 GN=GMFB PE=1 SV=2 	Homo sapiens
P01903	P01903	HLA-DRA	C	35.04	canonical	  0.999	  0.000	267	  3.230	9									P01903	1308	361				"coreProteome GENCODE_v48 SP sp|P01903|DRA_HUMAN HLA class II histocompatibility antigen, DR alpha chain OS=Homo sapiens OX=9606 GN=HLA-DRA PE=1 SV=2 \VariantSimple=(16|L)(242|V)"	Homo sapiens
P19440	P19440	GGT1	C	42.36	canonical	  0.999	  0.000	678	  3.220	22									P19440	1807	49				coreProteome GENCODE_v48 SP sp|P19440|GGT1_HUMAN Glutathione hydrolase 1 proenzyme OS=Homo sapiens OX=9606 GN=GGT1 PE=1 SV=2 \VariantSimple=(51|L)(52|E)(177|V)(272|A)(419|D)(435|A)	Homo sapiens
Q99542	Q99542	MMP19	C	60.83	canonical	  0.999	  0.000	531	  3.210	23									P04004	1355	27				coreProteome GENCODE_v48 SP sp|Q99542|MMP19_HUMAN Matrix metalloproteinase-19 OS=Homo sapiens OX=9606 GN=MMP19 PE=1 SV=1 \VariantSimple=(103|C)(245|S)(488|T)(491|M)	Homo sapiens
